 a		phi		phidot		fde
    0.333968E-06    0.337289E+01   -0.117513E-12    0.341468E-13
    0.335046E-06    0.337289E+01   -0.118659E-12    0.345899E-13
    0.336128E-06    0.337289E+01   -0.119817E-12    0.350388E-13
    0.337214E-06    0.337289E+01   -0.120986E-12    0.354935E-13
    0.338303E-06    0.337289E+01   -0.122166E-12    0.359541E-13
    0.339396E-06    0.337289E+01   -0.123358E-12    0.364207E-13
    0.340492E-06    0.337289E+01   -0.124561E-12    0.368933E-13
    0.341591E-06    0.337289E+01   -0.125776E-12    0.373721E-13
    0.342694E-06    0.337289E+01   -0.127003E-12    0.378571E-13
    0.343801E-06    0.337289E+01   -0.128241E-12    0.383483E-13
    0.344911E-06    0.337289E+01   -0.129492E-12    0.388460E-13
    0.346025E-06    0.337289E+01   -0.130755E-12    0.393501E-13
    0.347143E-06    0.337289E+01   -0.132030E-12    0.398607E-13
    0.348264E-06    0.337289E+01   -0.133317E-12    0.403780E-13
    0.349389E-06    0.337289E+01   -0.134617E-12    0.409020E-13
    0.350517E-06    0.337289E+01   -0.135929E-12    0.414328E-13
    0.351649E-06    0.337289E+01   -0.137254E-12    0.419704E-13
    0.352785E-06    0.337289E+01   -0.138592E-12    0.425151E-13
    0.353924E-06    0.337289E+01   -0.139943E-12    0.430668E-13
    0.355067E-06    0.337289E+01   -0.141307E-12    0.436257E-13
    0.356213E-06    0.337289E+01   -0.142685E-12    0.441918E-13
    0.357364E-06    0.337289E+01   -0.144075E-12    0.447653E-13
    0.358518E-06    0.337289E+01   -0.145480E-12    0.453462E-13
    0.359676E-06    0.337289E+01   -0.146897E-12    0.459346E-13
    0.360837E-06    0.337289E+01   -0.148329E-12    0.465307E-13
    0.362003E-06    0.337289E+01   -0.149774E-12    0.471345E-13
    0.363172E-06    0.337289E+01   -0.151234E-12    0.477462E-13
    0.364345E-06    0.337289E+01   -0.152707E-12    0.483658E-13
    0.365521E-06    0.337289E+01   -0.154195E-12    0.489934E-13
    0.366702E-06    0.337289E+01   -0.155697E-12    0.496292E-13
    0.367886E-06    0.337289E+01   -0.157214E-12    0.502732E-13
    0.369074E-06    0.337289E+01   -0.158746E-12    0.509256E-13
    0.370266E-06    0.337289E+01   -0.160292E-12    0.515864E-13
    0.371462E-06    0.337289E+01   -0.161854E-12    0.522558E-13
    0.372661E-06    0.337289E+01   -0.163430E-12    0.529339E-13
    0.373865E-06    0.337289E+01   -0.165022E-12    0.536209E-13
